Word,Definition,Examples
起腻,bother someone; pester; nag,"[{""sentence"": ""['爸爸一出门，孩子就跟妈妈起腻，非买那个玩具不可。']"", ""translation"": ""['The child pestered his mother for buying the toy for him when his father went out.']""}]"
气不忿儿,not stand the sight of; be furious; feel indignant ; be unconvinced,"[{""sentence"": ""['看他那么虐待他的亲生父亲，我真气不忿儿。', '听到这消息真让我气不忿儿。']"", ""translation"": ""['I can’t stand to see him ill-treat his own father like that.', 'I’m furious to hear the news.']""}]"
砌墙头,building a wall(with mahjong pieces)/A metaphor for playing mahjong.,"[{""sentence"": ""['她每天都到老年活动中心砌墙头去。']"", ""translation"": ""['She goes to play mahjong at the senior citizens’ center everyday.']""}]"
前卫,fashionable; modern; creative,"[{""sentence"": ""['这种发型是当今最前卫的，许多年轻人都喜欢。']"", ""translation"": ""['This hairstyle is most fashionable at present. Many young people like it.']""}]"
强努,force oneself to do sth.; try one’s utmost to do sth. beyond one’s ability,"[{""sentence"": ""['搬不动就别强努，当心闪了腰。']"", ""translation"": ""['Don’t force yourself to carry it if it’s too heavy for you. Be careful not to sprain your back.']""}]"
戗行,snatch away business; take the lead in competition,"[{""sentence"": ""['这本来是我的买卖，可是让他戗行了。他把价格压得很低。', '他哥的女友让他给戗行了，并同她结了婚。']"", ""translation"": ""['It was my business originally, but he snatched it away from me by selling goods at much lower prices.', 'He stole his brother’s girlfriend and married her.']""}]"
翘辫子,kick the bucket,"[{""sentence"": ""['你要翘辫子呀！过马路干吗不看着点儿车？']"", ""translation"": ""['Do you want to kick the bucket? Why don’t you look around before you cross the road.']""}]"
怯,in poor taste; vulgar; tawdry,"[{""sentence"": ""['你怎么买这个颜色的毛衣，太怯了。']"", ""translation"": ""['Why did you buy this color sweater? It looks very tawdry.']""}]"
青春饭,"a youthful profession, which has a strict age limit usually between18 to 30 years old, like dancing, air hostessing, athletics, etc.","[{""sentence"": ""['舞蹈是吃青春饭的，所以她父母不同意她当舞蹈演员。']"", ""translation"": ""['Dancing is a youthful profession, so her parents won’t allow her to become a dancer.']""}]"
青瓜头,"greenhorn; inexperienced, unsophisticated or crude and impetuous young people/It’s mostly used by the elderly to comment on the young.","[{""sentence"": ""['你真是个青瓜头，办事怎么能如此草率。这会给公司招惹来不少麻烦。']"", ""translation"": ""['You’re really a greenhorn. How could you handle things in such a rash way. It could cause many problems for the company.']""}]"
青一色,monotone; entirely; all; whole,"[{""sentence"": ""['我喜欢青一色的红裙子。', '这个班的学生青一色都是女孩子。']"", ""translation"": ""['I like an all-red skirt.', 'The students in this class are all girls.']""}]"
情儿,(extra marital)lover(man or woman),"[{""sentence"": ""['他整晚跟他的情儿在一起，可却对他妻子说他有一个重要会议。']"", ""translation"": ""['He spent the whole evening with his lover, but he told his wife that he had an important meeting.']""}]"
鞧,snuggle up; shrink; curl up,"[{""sentence"": ""['起来活动一下身体，别整天鞧在床上。']"", ""translation"": ""['Get up and do some exercises. Don’t huddle up in bed all day.']""}]"
去你的,damn you,"[{""sentence"": ""['A--别生气，我只不过是逗你玩的。\\\\nB--去你的，以后再也不理你了。']"", ""translation"": ""['A—Don’t be angry. I was just kidding.\\\\nB—Damn you . I won’t talk to you any more.']""}]"
全活儿,do everything(the good and the bad),"[{""sentence"": ""['如我要用你，你可得干全活儿，包括买菜、做饭、打扫卫生、看孩子。当然你会比别人拿的工资要高得多。']"", ""translation"": ""['If I hired you, 'you have to do everything in the house including shopping', 'cooking', cleaning and baby sitting. But you will get paid more than other people.']""}]"
惹火,inspire; excite,"[{""sentence"": ""['她的歌惹火了全场的观众，气氛也变得越来越热烈。']"", ""translation"": ""['Her song inspired the audience. The atmosphere became more and more charged.']""}]"
热昏,have a fever; have heatstroke,"[{""sentence"": ""['我想你是热昏了, 否则不会做出这种决定。']"", ""translation"": ""['I think you must have had heatstroke, otherwise you couldn’t have made such a stupid decision.']""}]"
人来风,(children) run wild and disobey parents when guests come to the house,"[{""sentence"": ""['这孩子就是人来风，你简直拿他没办法。']"", ""translation"": ""['This child always runs wild and disobeys me when someone come to the house. I just don’t know how to control him.']""}]"
人脉,having many personal relationships; popular; well-connected,"[{""sentence"": ""['她这个人特别有人脉，最适合干销售这行。']"", ""translation"": ""['She knows a lot of people; she’s very suitable for sales work.']""}]"
人蛇,illegal immigrant,"[{""sentence"": ""['在香港有一些人蛇从事建筑业来获得一点很微薄的工资。']"", ""translation"": ""['In Hong Kong many illegal immigrants work in construction for very low wages.']""}]"
人渣,"dregs or scum of society, or someone of inferior or evil characteristics or a morally degenerate person","[{""sentence"": ""['老百姓对于那些犯有盗窃、抢劫、强奸罪的人渣真是恨极了。他们要求政府对他们进行严厉的打击。']"", ""translation"": ""['The common people have great hatred for those dregs of society responsible for crimes of robbery, 'theft', and rape. They want the government to crack down on them severely.']""}]"
柔,sweet; lovely; charming; curry favor; win favor by fawning,"[{""sentence"": ""['她特别柔，每个人都喜欢她。', '她最了解如何柔得观众的喜欢。']"", ""translation"": ""['She is so sweet that everyone like her.', 'She knows pretty well how to win favor of the audience by fawning.']""}]"
肉,overcooked,"[{""sentence"": ""['这道菜你炒得肉了。']"", ""translation"": ""['This dish is overcooked.']""}]"
软档,weak point ; weakness,"[{""sentence"": ""['他深知自己的软档，并在努力改正。']"", ""translation"": ""['He knows his weakness very well and tries his best to change.']""}]"
软拒,soft excuse; refuse in a reasonable way(first used by taxi drivers in refusing to take passengers),"[{""sentence"": ""['的哥们常用要回家吃饭或收车的手段来软拒乘客。']"", ""translation"": ""['Taxi drivers often use the excuse of going home for meals or finishing work to refuse to pick up passengers.']""}]"
弱智,idiotic; stupid,"[{""sentence"": ""['你不能让他为你打这封信。他弱智，根本不会用打字机。']"", ""translation"": ""['You can’t let him type this letter for you. He’s stupid and doesn’t know how to use a typewriter.']""}]"
飒,(of women)natural and unrestrained; elegant; graceful,"[{""sentence"": ""['那个穿晚礼服的妞儿看上去够飒的。']"", ""translation"": ""['The woman in the evening gown looks natural and unrestrained.']""}]"
塞牙缝,sth. not large enough to fill a tooth gap; sth. very sparse or extremely little,"[{""sentence"": ""['这些吃的还够我塞牙缝的呢。']"", ""translation"": ""['This food is far from enough for me.']""}]"
三青子,rough fellow; rude person,"[{""sentence"": ""['他是个三青子，干什么都不管不顾。']"", ""translation"": ""['He is a rough fellow. He doesn’t car about anything.']""}]"
三孙子,yes-man; one who is absolutely obedient or always censured,"[{""sentence"": ""['他怕老板炒他的鱿鱼，所以像个三孙子似的处处小心谨慎的干活。']"", ""translation"": ""['He is afraid of being fired by the boss, so he works very carefully and obediently like a yes-man.']""}]"
扫黄,"confiscate on the sale of pornographic magazines, books, audio and video tapes; ban on the sale of pornographic magazines, books and video tapes","[{""sentence"": ""['政府在全国发起了一场大规模的扫黄运动。']"", ""translation"": ""['The government launched a nationwide campaign to confiscate all pornographic magazines, books and video tapes on the market.']""}]"
杀价,bargain the price down; bargain with a peddler to lower his or her price,"[{""sentence"": ""['如果你到自由市场东西，你得学会如何杀价。']"", ""translation"": ""['If you go to the free market to buy things, you have to learn how to bargain the price down.']""}]"
杀熟,"charge, especially a friend, a high price/It refers only to cheating a friend.","[{""sentence"": ""['公安局抓获了一名专杀熟的盗窃分子。']"", ""translation"": ""['Policemen caught a thief who made a specialty of cheating his friends.']""}]"
傻X,be dumbfounded; be stunned; be at the end of one’s rope,"[{""sentence"": ""['到了银行他们都傻了，所有的钱都被子提走了。', '他傻了，他原以为她不会一个人回家去。']"", ""translation"": ""['They were stunned when they got to the bank and discovered all their money had been withdrawn by someone else.', 'He was stunned that she would go home by herself.']""}]"
晒,ignore someone on purpose,"[{""sentence"": ""['顾客几次招呼售货员，可是她把人家晒在那里，依然与另一位售货员聊天。']"", ""translation"": ""['The customers tried to get the shop assistant’s attention, but she deliberately ignored them and kept talking with her co-worker.']""}]"
煽火,fan the flames; stir up trouble,"[{""sentence"": ""['这起初是件小事，但他去把它煽火成越来越复杂的问题了。']"", ""translation"": ""['It was nothing at first, but he stirred up trouble and make it into a big mess.']""}]"
上班族,class of people who do white-collar jobs(white-collar workers; office workers),"[{""sentence"": ""['这套衣服是专为上班族设计的。']"", ""translation"": ""['This suit of clothes is designed specially for white-collar workers.']""}]"
上赶着,enthusiastically,"[{""sentence"": ""['尽管他上赶着为老板玩儿命干，可是老板却并不给他加薪。']"", ""translation"": ""['Although he works enthusiastically, his boss won’t give him a pay rise.']""}]"
上眼药,rub one’s eyes with eyedrops; An expression for those who go to the boss and tell tales or speak ill of others.,"[{""sentence"": ""['我知道她妒忌我，所以到头儿那儿给我上眼药。']"", ""translation"": ""['I know that she’s jealous of me, so she went to the boss to tell tales of me.']""}]"
捎带脚儿,in passing; incidentally,"[{""sentence"": ""['不麻烦，这件事等我回家的时候捎带脚儿就能给办了。']"", ""translation"": ""['It’s no trouble at all. I can do this on my way home.']""}]"
烧钱,"to burn money, used to describe someone who spends money very quickly","[{""sentence"": ""['卓越网向众人宣布将为中国音像业打造一项全新大奖。为此卓越网开出1000万的赏金征集畅销影视音乐精品。这是卓越网在融资5000万之后推出的最大的一次“烧钱”活动。']"", ""translation"": ""['Joyo announced to the public that it would launch a brand new award for the Chinese audio and video industries. It gave a 10 million yuan prize for the best collection of music from movies or television dramas. This is its largest“money burning ” activity since it was financed with 50 million yuan.']""}]"
蛇头,a person or gang that ferries people illegally across the border,"[{""sentence"": ""['他是东南亚最大的蛇头。']"", ""translation"": ""['He is the biggest human trafficker in Southeast Asia.']""}]"
神聊,"a long rambling talk; a long, animated discussion on many topics","[{""sentence"": ""['他们俩一见面就神聊上了，也不知道哪有那么多话说。']"", ""translation"": ""['They started a long discussion as soon as they met. Who knows how they found that much to talk about.']""}]"
狮子大张口,be too greedy; ask for (demand) a huge sum of money,"[{""sentence"": ""['我同意借钱给他，但我没想到他狮子大张口，要我一个月的工资。']"", ""translation"": ""['I agree to lend him some money. But I didn’t expect him to ask for the equivalent of my monthly salary.']""}]"
时下菜,vegetables in season(seasonal vegetable in abundant market supply andcheap),"[{""sentence"": ""['她很省钱，常买时下菜。']"", ""translation"": ""['She usually buys vegetables in season to save money.']""}]"
十有八九,mostly; in eight or nine cases out of ten,"[{""sentence"": ""['由于下雨，他十有八九不会来了。']"", ""translation"": ""['Mostly likely he won’t come because of the rain.']""}]"
屎盆子,"crap pot, meaning fault; mistakes; bad thing; sin","[{""sentence"": ""['这完全是他们的过错，可是他们却把屎盆子扣在我头上。']"", ""translation"": ""['It’s their fault completely. But they made me take the responsibility for it.']""}]"
收线,hang up the receiver,"[{""sentence"": ""['我想我该收线了，否则又要耽误你的工作了。']"", ""translation"": ""['I think I should hang up now otherwise I’ll interfere with your work.']""}]"
手榴弹,grenade/Aterm for a bottle of wine that people give as a gift in order to cotton up to someone.,"[{""sentence"": ""['他昨天才从美国回来就给头儿送去两枚外国造的手榴弹。']"", ""translation"": ""['He came back from the United States yesterday and gave two foreign-made“grenades” to his boss.']""}]"
手壮,"luck at gambling, cards, etc.","[{""sentence"": ""['今天她手壮，盘盘都是她赢。']"", ""translation"": ""['She got a lucky hand today. Every time we played, she won.']""}]"
数落,scold; rebuke; blame,"[{""sentence"": ""['由于回来晚了，妈妈就数落我一通。']"", ""translation"": ""['My mother rebuked me for coming home late.']""}]"
刷卡,pay by credit card,"[{""sentence"": ""['她喜欢刷卡，不愿付现金。']"", ""translation"": ""['She prefers using her credit card to paying in cash.']""}]"
刷夜,stay away from home all night; spend the night outside with shady characters,"[{""sentence"": ""['他昨晚又刷夜去了。']"", ""translation"": ""['He fooled around with shady characters again last night.']""}]"
耍大牌,to put on airs; to affect a movie-star pose,"[{""sentence"": ""['他由于有事没能参加那台晚会，结果被人说是他在耍大牌。']"", ""translation"": ""['He didn’t attend the party because he had something else to do, and everyone said he was playing the movie star.']""}]"
耍钱,gambling,"[{""sentence"": ""['我对他真是没辙了。他总去耍钱，谁说他都不听。']"", ""translation"": ""['I want nothing to do with him. He’s always going gambling and won’t listen to anyone.']""}]"
帅呆,the appearance of sb. (usually male) or sth. that is very beautiful or handsome; sb. Demeanor or bearing that is outstanding or extraordinarily unusual,"[{""sentence"": ""['你儿子的长相真是帅呆了，完全可以去当模特。']"", ""translation"": ""['Your son is extremely good looking. He has the right qualifications to be a model.']""}]"
涮,make fun of; make a fool of; deceive; be stood up,"[{""sentence"": ""['如果你真爱他，就别再涮他了。', '她答应昨晚请他吃饭，所以他在饭店前等了两小时，但她没来。最后他明白他被涮了。']"", ""translation"": ""['If you really love him you shouldn’t make fun of him anymore.', 'She promised to treat him to dinner last night, so he waited two hours outside of a restaurant for her to show up. He finally realized that he was being stood up.']""}]"
水货,low-quality goods; shoddy goods,"[{""sentence"": ""['市面上场上的水货太多。']"", ""translation"": ""['There are too many shoddy goods on the market.']""}]"
水穴,privately organized show that makes little profit,"[{""sentence"": ""['走穴通常分火穴和水穴两面三刀种。一般没有名气的歌手都先从走水穴开始。']"", ""translation"": ""['There are mainly two of privately organized shows in China; those that are profitable and those that are not. Usually new pop singers have to work their way up starting with shows that do not make much profit.']""}]"
顺走,steal; sneak away with sth.,"[{""sentence"": ""['我的手袋放在这个椅了上，不知让谁给顺走了。']"", ""translation"": ""['I put my handbag on the chair here and don’t know who stole it.']""}]"
说胖就喘,to puff and blow when others say you are fat/A metaphor for one who cannot stand praise from others.,"[{""sentence"": ""['瞧你这上人说胖就喘，昨天刚夸人身体好，你今天就病了。']"", ""translation"": ""['Look at you. I just praised your good health yesterday and you are sick today.']""}]"
私了,settle a dispute privately(without lawsuit),"[{""sentence"": ""['他们在拿到司机给一大笔钱之后，就撤消诉讼并把这案私了了。']"", ""translation"": ""['They dropped the lawsuit and settled the case privately after they received a large sum of money from the driver.']""}]"
死磕,risk one’s life,"[{""sentence"": ""['你没必要为这点儿事跟那家伙列磕下去。']"", ""translation"": ""['It’s not necessary for you to risk your life to fight him over such a trivial matter.']""}]"
死轴子,a metaphor for one who is stubborn,"[{""sentence"": ""['这件事这么做行不通，你不会换种方式做吗？你呀，真是个死轴子！']"", ""translation"": ""['It won’t work in this way. Why don’t you change to another way? What a stubborn person you are!']""}]"
送死,court death,"[{""sentence"": ""['他可不想白白地送死。']"", ""translation"": ""['He didn’t want to court death for nothing.']""}]"
碎催,errand-boy,"[{""sentence"": ""['我辞了那份工作，因为我厌倦做公司老板的碎催。']"", ""translation"": ""['I resigned the job because I hate to be the boss’ errand-boy.']""}]"
塔儿哄,create a big disturbance; make trouble,"[{""sentence"": ""['他成心跟我们在这儿塔儿哄。我们决定往东，他却偏要往西。']"", ""translation"": ""['He made trouble for us on purpose. We decided to do it this way, but he insisted on doing it the opposite way.']""}]"
抬轿子,(originally)to carry sb. In a sedan chair;(metaphor) to flatter; sing the praises of; lick sb.’s boots,"[{""sentence"": ""['他这个人最喜欢别人为他抬轿子。']"", ""translation"": ""['Most of all he likes to be flattered.']""}]"
抬人,make sth. look better; beautify; doll up,"[{""sentence"": ""['这身新衣服真抬人。']"", ""translation"": ""['This new suit makes you look wonderful.']""}]"
太平公主,(jocular term)girl with flat breasts,"[{""sentence"": ""['不少太平公主都热衷于通过各种方式改变自我形象，她们无疑成了商家推销各种隆胸产品的对象。', '这种产品最适合于那些太平公主们使用。']"", ""translation"": ""['Many young girls are keen on changing their self-image by various means. They have no doubt become the targets of merchants who sell various products to make breasts bigger.', 'This product is most suitable for girls with flat breasts.']""}]"
探班,to visit or inter view actors and actresses at the filming location,"[{""sentence"": ""['前不久，我们节目组到（天下无贼）影片的拍摄现场探班，打探到不少最新拍摄动态。']"", ""translation"": ""['Not long ago, our program team went to visit actors and actresses at the filming location of the film“A World Without Thieves” and got a lot of the latest news of the film.']""}]"
蹚道,get information in advance,"[{""sentence"": ""['他很快就毕业了，他让父亲为他的工作蹚道。', '如果你不先蹚道，你就不知如何办合资公司。']"", ""translation"": ""['He will graduate from school soon. He has asked his father to help him find a job.', 'If you don’t get information in advance, you won’t know how to set up a joint venture.']""}]"
趟雷,to clear off/ remove obstacles,"[{""sentence"": ""['你不大胆去干吧。别担心，有我给你趟雷呢！']"", ""translation"": ""['Just go and do it bravely. Don’t worry. You have me to clear the way for you.']""}]"
淘,to look for; find,"[{""sentence"": ""['我总爱在周末上街淘我喜欢的东西。']"", ""translation"": ""['On weekends I love to go shopping and look for my favorite things.']""}]"
逃票,take a bus without paying the fare; evade bus fare,"[{""sentence"": ""['他总在汽车拥挤的下班高峰时逃票。']"", ""translation"": ""['He always evades bus fares when the bus is crowded at the rush hours.']""}]"
套瓷,cotton up to; try to establish a relationship with someone; act as if one has a close relationship with someone else,"[{""sentence"": ""['他只见过我一面，但他使劲儿与我套瓷仿佛就像是我的老朋友一样。']"", ""translation"": ""['He only met me once, but he acted as if we were old friends.']""}]"
套儿,snare; trap,"[{""sentence"": ""['你千万别去，说不定那是人家给下的大套儿。']"", ""translation"": ""['You should never go there. It might be a big trap they laid for you.']""}]"
添堵,trouble; disturb; annoy; displease,"[{""sentence"": ""['他今天本来就不开心。你就别为这点儿小事给他添堵了。']"", ""translation"": ""['Don’t trouble him with such a small thing. He is already in low spirits today.']""}]"
甜,profitable; well-paying,"[{""sentence"": ""['这笔买卖挺甜的。']"", ""translation"": ""['This business is really profitable.']""}]"
甜姐,sweet girl; cutie-pie,"[{""sentence"": ""['她虽已过年三十岁，但她在银幕上仍然保持着甜姐的形象。']"", ""translation"": ""['She’s over thirty but she’s managed to maintain her cutie-pie image in the movies.']""}]"
挑剌儿,find fault with sb. Pick holes in,"[{""sentence"": ""['她总盯着我的工作，并总想给我挑剌儿。']"", ""translation"": ""['She always keeps her eyes on my work and always tries to find fault with me.']""}]"
跳糟,change jobs; job-hopping,"[{""sentence"": ""['他一直不断地跳糟，直到找到满意的工作为止。']"", ""translation"": ""['He kept changing jobs until he found one he was satisfied with.']""}]"
跳水价,the lowest price,"[{""sentence"": ""['A--这件衣服还能再便宜点吗？\\\\nB--不行，这已经是跳水价了。']"", ""translation"": ""['A—Could you lower the price of this jacket a little?\\\\nB—No. That’s already the lowest price.']""}]"
铁磁,intimate friend; close friend; soul mate,"[{""sentence"": ""['我们是铁磁，所以你的困难就是我的困难。']"", ""translation"": ""['We are close friends, so your difficulties are my difficulties.']""}]"
铁哥们儿,intimate male friend; close male friend,"[{""sentence"": ""['他叫了几个铁哥们帮他盖房子。']"", ""translation"": ""['He asked some of his close friends to help him build the house.']""}]"
铁姐们儿,intimate female friend; close female friend,"[{""sentence"": ""['这是我的铁姐们儿，刚从美国回来。']"", ""translation"": ""['This is my close friend. She’s just come back from the United States.']""}]"
挺,stand; endure,"[{""sentence"": ""['这点儿疼痛还挺得住。']"", ""translation"": ""['I can stand the pain.']""}]"
挺尸,lie; take a cat nap; snooze,"[{""sentence"": ""['他在凉快的地方挺尸呢。']"", ""translation"": ""['He’s snoozing in the shade.']""}]"
同道儿,partners in crime; people involved in the same illegal trade,"[{""sentence"": ""['他们是同道儿，所以经常相互包庇。']"", ""translation"": ""['They are involved in the same illegal trade so they often help each other.']""}]"
筒子楼,"tubeshaped building with lining on both sides of a long corridor/In China, this type of building is mainly used for offices or classrooms but can also be used for residential quarters.","[{""sentence"": ""['他终于从破旧的筒子楼搬进了高层建筑。']"", ""translation"": ""['He finally moved out of the shabby tube-shaped building in to a new apartment highrise.']""}]"
头大,be puzzled; have a head ache; be in a stew,"[{""sentence"": ""['看见这封信他的头脑立刻大了，他不知怎样答复才妥当。', '一提我找一个照顾孩子的人，她的头发就大。']"", ""translation"": ""['This letter puzzled him. He didn’t know how to answer it properly.', 'She is in a stew over finding a baby-sitter.']""}]"
头儿,"leader; head of a unit, group or a gang; boss","[{""sentence"": ""['这件事头儿不同意，我没法干。']"", ""translation"": ""['I can’t do it unless the head of the unit agrees.']""}]"
秃瓢儿,baldhead,"[{""sentence"": ""['他不敢当众脱帽，因为他是个秃瓢儿。']"", ""translation"": ""['He doesn’t dare take off his hat in front of people because he is a baldhead.']""}]"
土,unsophisticated; not well-informed; ignorant; un-experienced/A term used to describe someone who hasn’t seen very much of the world.,"[{""sentence"": ""['你真土，连西餐都没吃过。']"", ""translation"": ""['You’re really unsophisticated. You haven’t even had Western-style dishes yet.']""}]"
土鳖,beetle,"[{""sentence"": ""['我小时候常抓土鳖到药店去卖。']"", ""translation"": ""['I used to catch beetles and sell them in a drugstore when I was young.']""}]"
土得掉渣儿,very ignorant; rustic; unrefined,"[{""sentence"": ""['她刚进城时土得掉渣儿。']"", ""translation"": ""['She looked very unrefined when she first came to the city.']""}]"
吐血,“spit blood”; to foot the bill; pay for sth.,"[{""sentence"": ""['你不能总吃白食。今天轮到你吐血了。']"", ""translation"": ""['You can’t have free meals all the time. It’s your turn to foot the bill today.']""}]"
脱口秀,talk show,"[{""sentence"": ""['每年在各大学都要举行脱口秀比赛，获奖者有机会步入电视主持人的行列。']"", ""translation"": ""['All the colleges and universities will hold a talk show competition each year and the winners might have an opportunity of stepping into a career as a television host.']""}]"
托儿,someone hired by a store owner to pretend to be a customer in order to attract customers,"[{""sentence"": ""['她是我哥哥雇来的托儿。']"", ""translation"": ""['She was hired by my brother to be an“enthusiastic customer”.']""}]"
托儿姐,a young woman hired by a store owner to pretend to a customer in order to attract customers,"[{""sentence"": ""['最近生意不好，你能帮我找两个托儿姐吗？']"", ""translation"": ""['My business is not going well. Would you find two young women to be“enthusiastic customers” for me?']""}]"
歪才,unique artistic talent; cleverness in a certain field,"[{""sentence"": ""['我真没料到他干这事还有点儿歪才。']"", ""translation"": ""['I had no idea he was so talented in this area.']""}]"
崴泥,get stuck in the mud/get into trouble; make things worse; go wrong,"[{""sentence"": ""['这次她崴泥了，到了海边才发现忘记带游泳衣了。']"", ""translation"": ""['She got into trouble this time. When she arrived at the beach she found she had forgotten to bring her swimming suit.']""}]"
外快,additional income; temporary income; extra money,"[{""sentence"": ""['她靠晚上辅导学生挣些外快。']"", ""translation"": ""['She makes some extra money by tutoring in the evening.']""}]"
玩主,fop; dandy; trouble-maker,"[{""sentence"": ""['他过去曾是个玩主。']"", ""translation"": ""['He used to be a troublemaker.']""}]"
玩儿得转,handle (sb. Or sth.)easily; use(a tool) with skill; master with ease; able to use or operate,"[{""sentence"": ""['这匹马除了我没人能玩儿得转。', '他太淘气，没人能玩儿得转他。']"", ""translation"": ""['No one can easily handle the horse except me.', 'He is naughty that nobody can keep him under control.']""}]"
玩和闹,mischievous person; naughty guy; ruffian; rascal; troublemaker,"[{""sentence"": ""['这个班有许多小玩儿闹。']"", ""translation"": ""['There are many troublemakers in this class.']""}]"
玩儿飘,show off one’s skill or talent on purpose,"[{""sentence"": ""['那两个男孩在马路上骑车玩儿飘。']"", ""translation"": ""['The two boys are showing off their bike riding skills on the strect.']""}]"
玩儿深沉,pretend to be sophisticated; speak in a way so as to deliberately mystify others.,"[{""sentence"": ""['你不必在我面前玩儿深沉。']"", ""translation"": ""['You needn’t pretend to be sophisticated in front of me.']""}]"
玩儿稀的,do sth. unique,"[{""sentence"": ""['年轻人喜欢玩潇洒。他们从不管明天该怎么过。']"", ""translation"": ""['He likes to do unique things to differentiate himself from others.']""}]"
玩儿一把,play(do)sth. once,"[{""sentence"": ""['这棋很有意思。你不想跟我玩儿一把吗？']"", ""translation"": ""['This is a very interesting game. Don’t you want to play it with me once?']""}]"
腕儿,famous person; expert,"[{""sentence"": ""['别小看他，他画龙点睛经也是个腕儿。']"", ""translation"": ""['Don’t look down on him. He’s a famous celebrity.']""}]"
网友,web,"[{""sentence"": ""['小李上网不到半年，已交了不少网友，还经常参加网友组织的聚会。']"", ""translation"": ""['Xiao Li has made many web friends in dthe six months since he was connecting to the Internet. He often goes to parties organized by web friends.']""}]"
危,far from settled; dangerous; not too encouraging.,"[{""sentence"": ""['她担心这事有点儿危。']"", ""translation"": ""['She is afraid this matter is far from settled.']""}]"
尾巴长,longtail /A term use for someone who never closes the door when he or she walds in or out .,"[{""sentence"": ""['他的尾巴特别长']"", ""translation"": ""['He has a long tail (he never closes the door behind him).']""}]"
温吞水,lukewarm water; slow coach or slowpoke,"[{""sentence"": ""['她是典型的温吞水，所以你跟她干事要有耐心。']"", ""translation"": ""['She is a typical slow coach, so you must be extremely patient when you when you work with her.']""}]"
揾钱,make money.,"[{""sentence"": ""['大多数人都搞投机揾钱，可他却要投资办厂当实业家。']"", ""translation"": ""['Most people engage in speculation to make money quickly, but he wants to invest in a factory and become an industrialist.']""}]"
窝里反,internal rebelling; internal dissension; domestic conflict,"[{""sentence"": ""['敌还没打进来，他们自己却先窝里反了。']"", ""translation"": ""['There was intermal dissension among them before the enemy’s invasion.']""}]"
卧底,hide(lie low)in middle of ponents,"[{""sentence"": ""['这家伙是准备派往敌方卧底的人。']"", ""translation"": ""['This fellow will be sent to lie low in the heart of the enemy.']""}]"
吸引眼球,eye-catching; attractive,"[{""sentence"": ""['前几年电视台最吸引眼球的节目是模特大赛。如今搞的太多了，收视率下降了。']"", ""translation"": ""['The most eye-catching program on TV was a model contest a few years ago. Now the viewer ratings have gone downhill because there are too many contests like that.']""}]"
细发,exquisite; delicate; careful; fine,"[{""sentence"": ""['她的皮肤真够细发的。', '以前我还没见过工艺做得这么细发的手表。']"", ""translation"": ""['She’s got fine skin.', 'I haven’t seen such delicate workmanship in a watch before.']""}]"
瞎掰,act senselessly; talk nonsense,"[{""sentence"": ""['别信他的话。他就会瞎掰。']"", ""translation"": ""['Don’t believe him. He’s only talking nonsense.']""}]"
瞎菜,have no way out; be finished ; be at the end of one’s hope,"[{""sentence"": ""['如果你告我卖假货，我就瞎菜了。']"", ""translation"": ""['If you sue me for selling fake goods, I’ll be finished.']""}]"
瞎迷,be dumbfounded; be stunned; find oneself at a loss,"[{""sentence"": ""['他们说得好听，但真正干起来就瞎迷了。']"", ""translation"": ""['They talked a big game, but they were at a loss as to what they should actually do.']""}]"
下海,go to sea/Originally this term referred to someone who joined a gang or a woman from a good family who became a prostitute. Now it refers to someone who has given up a stable job to engage in business.,"[{""sentence"": ""['许多人辞职下海去了。']"", ""translation"": ""['Many people gave up their regular jobs and started to do business.']""}]"
下面,unit at the basic level,"[{""sentence"": ""['不管政策如何定，下面是不执行。']"", ""translation"": ""['No matter what policies are made, the unit at the basic level refuses to carry them out.']""}]"
下片儿,(policeman) go to get information in local beat,"[{""sentence"": ""['今天所有警察都下片儿了。']"", ""translation"": ""['All the local police have gone to their beats today.']""}]"
闲磕牙,chat,"[{""sentence"": ""['他们不是聚在一起闲磕牙就是下象棋。']"", ""translation"": ""['They get together either to chat or play chess.']""}]"
现,lose face; make a fool of oneself; bring shame on oneself,"[{""sentence"": ""['他算是现了，刚讲了一半就说不出话了。']"", ""translation"": ""['He felt shamed by losing his voice in the middle of the speech.']""}]"
向毛席保证,"In Chairman Mao’s name/A term to indicate that what one says is absolutely true, mostly used in the 1970s of the 20th century.","[{""sentence"": ""['我敢向毛主席保证，我没拿你那本书。']"", ""translation"": ""['I swear in Chairman Mao’s name that I didn’t take your book.']""}]"
小巴,minibus; small bus,"[{""sentence"": ""['为了缓解320路大巴的拥挤现象，汽车公司又开辟了320路小巴业务。']"", ""translation"": ""['To ease up the overcrowding on bus No.320, the bus company is running minibuses along that route in addition to the normal bus service.']""}]"
小炒,an individual quick-fried dish,"[{""sentence"": ""['今天我请你吃小炒。']"", ""translation"": ""['I’ll treat you to small dishes today.']""}]"
小皇帝,little emperor/A term referring to children from one-child families or spoilt children,"[{""sentence"": ""['如今中国的小皇帝越来越多，这将成为中国未来的一个社会问题。']"", ""translation"": ""['There are more and more little emperors now in China. It will become a social problem in the future.']""}]"
小金库,private hoard,"[{""sentence"": ""['我丈夫用他小金库的钱买烟抽。']"", ""translation"": ""['My husband uses his private hoard to buy his cigarettes.']""}]"
