lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
zh,阿黑颜,Black facial expression,黑色的脸色,特征是翻白眼、张嘴、吐舌，表现出一种陶醉和迷离失神的状态，常与性高潮的情景相关。,"A facial expression characterized by rolling eyes, open mouth, and tongue out, indicating a state of ecstasy or dazed trance, often associated with sexual climax."
zh,小布丁,Small pudding dessert,小型布丁甜点,主要用于讽刺利己主义者。它起源于一个网络投票事件，当时大多数人选择了免费的小布丁而不是科比复活。后来，这个词被用来攻击科比的粉丝和揭别人的伤疤，也可以用作无明确含义的底线梗。,"A term used to mock selfish individuals, originating from an online poll where most chose a free pudding over Kobe Bryant's resurrection, later used to criticize Kobe fans, highlight others' vulnerabilities, or as a nonspecific punchline."
zh,竹丝炒肉,A dish stir-fried with bamboo silk and meat.,用竹丝和肉一起炒制的菜肴,形象地形容挨打受处罚。,Vividly describes being beaten or punished.
zh,连夜走的买的站票,Bought a standing ticket overnight to leave immediately.,连夜买站票离开,形容因为见到某人真实样貌后的震惊和失望，急于逃离的心情。,"Describes the shock and disappointment upon seeing someone's true appearance, prompting an urgent desire to leave."
zh,爷满离,Leave fully satisfied,爷满意地离开,是“爷满意的离开了”的缩写。它的意思是表达看到了能满足自己期待的事物后，心满意足地离开。通常用来表示对某个内容的强烈满足与欣赏。,An abbreviation meaning to leave feeling fully satisfied after seeing something that meets one's expectations.
zh,闪光弹,A type of explosive device used in combat to produce a bright flash that temporarily blinds the enemy.,一种用于战斗中产生强烈闪光以致暂时致盲敌人的爆炸装置,在网络用语中，“闪光弹”引申为一种炫耀行为，特别是在感情或物质生活中表现得令人羡慕或炫目的行为。单身网友常用这个词来形容那些在公开场合亲昵互动的情侣或展示奢华生活的人，感到这是一种刺激、炫目到让人“致盲”的行为。,"In online slang, a flashy display intended to evoke envy, especially through public affection or showcasing a luxurious lifestyle."
zh,傻悲,Foolishly feeling sad.,傻乎乎地感到悲伤,跟“傻乐”形成对比，用于形容在困难未到来之前就感到悲观的人。,A person who feels pessimistic before difficulties actually occur.
zh,电竞贝多芬,Beethoven of esports,电子竞技的贝多芬,最初指的是在玩游戏时键盘敲击速度极快的人，类似弹钢琴的速度。最早是游戏选手厂长的外号，因为他在直播时常放钢琴曲，后来也引申为网络上打字速度飞快的人，尤其是在网上争论或喷人的情境下。,"A person who types or presses keyboard keys extremely fast, originally referring to a gamer known for rapid keystrokes like piano playing."
zh,麻辣毛蛋,Spicy-flavored bearded eggs (feathered chicken eggs).,麻辣味的毛蛋（毛鸡蛋）,最初是指一种特色小吃，但在网络上成为通过特殊的吆喝声来表达食物麻辣程度的搞笑梗。,"Originally a type of spicy snack, it became an online humorous meme expressing the level of spiciness through a distinctive chant."
zh,核区房,Housing near nuclear facilities,核设施附近的房屋,方便居民做核酸检测。,Residential buildings designed for convenient nucleic acid testing.
zh,乐山大佛,A giant Buddha statue in Leshan.,乐山的巨大佛像,这个梗用来讽刺那些在网络上站在道德制高点指责他人、却缺乏实际同情心和理解的网络喷子。形象比喻这些人看似高高在上、庄严神圣，实际上是自以为是。,A sarcastic term for online critics who moralize from a high ground but lack genuine empathy and understanding.
zh,科幻片,Science fiction film,科学幻想电影,在网络文化中，“科幻片”用来指代不可思议且甜美的恋爱故事，通常是对现实生活中难以置信的超甜恋情的调侃。,"In internet culture, a term used to describe an unbelievably sweet and idealized romantic story, often humorously referring to unrealistic love relationships."
zh,加密通话,Phone call protected by encryption technology,通过加密技术保护的电话通话,原意是“通过技术手段对通话进行加密，防止被窃听”。在网络上，指的是听不懂的对话。,A conversation that is difficult to understand or incomprehensible.
zh,前列腺刹车,Prostate acting as a brake mechanism.,前列腺作为刹车装置,形容将某个部位作为紧急制动方式，具有搞笑和夸张的成分。,"Using a body part as an emergency brake, often humorously and exaggeratedly."
zh,格局打开,Pattern/layout is opened up.,格局被打开,用于嘲讽或自嘲某人视野狭窄，建议应该更长远地看问题。常用于讽刺社会不公或特定观点。,"Used sarcastically to criticize or mock someone for having a narrow perspective, suggesting they should adopt a broader, long-term view."
zh,孩子飞出来了,The child flew out from the body.,孩子从身体里飞出来了,形容对方的魅力非常强大，以至于不需要和对方经历生孩子的过程，孩子就“飞出来”了。,Describes someone's charm as so strong that a child seems to appear without the usual process.
zh,世界名画,Famous paintings from around the world.,世界著名的绘画作品,这个梗表示一种对少见或意外画面的惊叹或戏谑。在特定情景下，其戏剧性和稀有性让人联想到真正的世界名画的珍贵。,"A slang term expressing amazement or playful admiration for rare or unexpected scenes, likening their drama and rarity to that of famous world paintings."
zh,扛着火车跑,Running while carrying a train on one's shoulders.,肩膀扛着火车奔跑,形容某人想要快速逃跑，比火车还快，表达急切和夸张的逃跑方式。,"Describes someone trying to escape quickly, faster than a train, expressing urgency and exaggeration."
zh,智商盆地,A low-lying area of intelligence (IQ).,智商的低洼区域,用来调侃或讽刺一个人的智商水平较低。,A term used to mock or sarcastically refer to someone’s low intelligence level.
zh,微瑕,Minor flaw,细微的瑕疵,指有轻微瑕疵的物品，在交易过程中描述物品状态时常用。这个词现常用于调侃，即使物品缺陷明显，也称其为“微瑕”。,"Refers to items with minor defects, often used humorously to describe clearly flawed goods during transactions."
zh,我完事了,I have finished the task.,我结束了事情,通常是男生在看到福利图或视频后用来表达自己已经解决了生理需求的内涵评论。,A phrase used by males to imply they have satisfied their physiological needs after viewing explicit images or videos.
zh,用爱发电,Generate electricity with love.,用爱心产生电力,指在收益较低或没有收益的情况下，仅出于热情和爱好而继续进行某项活动或工作。,Continuing an activity or work solely out of passion and love despite low or no financial gain.
zh,铁锤妹妹,Iron hammer girl,铁制的锤子妹妹,带有喜感和反差萌，通常用于称呼自己的女朋友或女生自称，体现出一种接地气和可爱的感觉。,"A playful and endearing term used by someone to refer to their girlfriend or by a girl herself, conveying a down-to-earth and cute vibe."
zh,尿遁,Leaving by urinating.,通过小便离开,从而暂时逃避责任或避免面对棘手的情况的人，或者用来缓解尴尬局面。,"A temporary escape from responsibility or avoidance of a difficult situation, often used to ease an awkward moment."
zh,我好了,I am already fine.,我已经好了,用于表示已经解决了生理需求。反面是“我还没好”，表示内容不够刺激或自嘲持久力。,"Used to indicate that a physiological need has been satisfied; the opposite phrase ""I'm not done yet"" implies insufficient stimulation or self-mockery of endurance."
zh,好多丧尸在啃人,Many zombies are biting people.,许多僵尸在咬人,这个梗用“丧尸啃人”生动形象地讽刺那些在公共场合进行亲热行为的情侣，尤其是热吻，表达了单身人士对这种现象的调侃或无奈。,"A humorous or resigned expression by singles mocking couples publicly displaying affection, especially kissing, likened to zombies biting people."
zh,懂王,A person who knows a lot; a master of knowledge.,懂得很多的人王者,这个梗用来嘲讽那些对某事物理解不够全面却自认为非常了解的人，带有贬义和讽刺。,A derogatory term mocking someone who overestimates their understanding of a subject despite lacking comprehensive knowledge.
zh,娇妻文学,Literature featuring delicate or pampered wives.,娇嫩的妻子相关的文学作品,是指一些女生在网上分享的自以为是被宠爱的经历。这些文字常常带有矫情的语气和文笔，展示一种自己是被霸道总裁般宠爱的“小娇妻”状态。然而，外人看起来这些表达实际上常常显得可笑，与现实脱节，她们不幸而不自知。这种风格逐渐在网络上成为一种受网友调侃的文学体裁。,"A style of online writing where women share self-indulgent, exaggerated accounts of being doted on like a ""spoiled wife,"" often perceived as pretentious and disconnected from reality."
zh,老六,An older sixth child.,年长的第六个孩子,指那些在游戏中不按常规策略行事，专门埋伏或偷袭敌人的玩家，后来泛指行为不按套路出牌的人。,"A person who disregards conventional strategies, often ambushing or surprising others, later broadly referring to someone who acts unpredictably."
zh,荒漠屠夫,Butcher of the desolate desert,荒凉沙漠中的屠夫,"这个梗指的是一位在抖音上走红的小姐姐，她以快速、熟练的宰羊技能而闻名。由于她在短时间内能熟练地完成羊的宰杀并且展示整齐的羊肉，她被网友戏称为""荒漠屠夫""。","A popular TikTok woman known for her fast and skilled sheep slaughtering, earning the nickname ""Desert Butcher."""
zh,半岛铁盒,An iron box on the peninsula,半岛上的铁制盒子,这是一个对话梗，用于测试对方是否知道周杰伦的歌曲《半岛铁盒》，以及是否能接住梗，类似于对暗号。,"A conversational code used to test if someone knows Jay Chou's song ""Peninsula Iron Box"" and can respond appropriately."
zh,天降紫微星,A Ziwei star descending from the sky.,天上降下的紫微星,凭借一部作品突然爆红的明星，或在体育圈中指成绩卓越、改变圈子现状的运动员。,"A celebrity who suddenly becomes famous due to a single work, or an athlete who achieves outstanding results and changes the status quo in their sport."
zh,巨硬公司,"A huge, solid company",巨大的坚硬公司,调侃微软公司，将“微软”对调为“巨硬”。,"A humorous nickname for Microsoft, reversing the characters in its Chinese name."
zh,二极管,A type of electronic component that allows current to flow in only one direction.,一种电子元件，允许电流单向流动,形容那些只能看到问题的两个极端，认为事物非黑即白，不具备辩证思考能力的人。这个词通常带有贬义，指代那些思维单一、缺乏换位思考、极端自私的人。,"A derogatory term for someone who sees only two extremes of an issue, thinks in black-and-white terms, and lacks dialectical thinking or empathy."
zh,谷圣,Sage of the valley,山谷中的圣人,是对奥运冠军谷爱凌的戏谑性称呼。它源于她在奥运会后的高曝光率、富裕生活和精英形象，引发部分网友的讽刺和调侃，认为她如同被神化的人物。,"A sarcastic nickname for Olympic champion Eileen Gu, implying she is idolized like a deity due to her high exposure, affluent lifestyle, and elite image."
zh,月亮不睡我不睡,"If the moon doesn't sleep, I won't sleep either.",月亮不睡，我也不睡,带有文艺色彩，表达一种与月亮一起度过漫漫长夜的浪漫情愫。,A poetic expression of spending a long night awake together with the moon.
zh,叠杀人书,Stacked multiple books about murder.,叠加多本关于杀人的书籍,这个梗是指在反复分享和传播过程中，表情包上的水印层层叠加，使水印变得很厚、很密集，如同一种累加效果。,A meme describing the accumulation of multiple overlapping watermarks on an image through repeated sharing.
zh,全员恶人,All members are villains.,所有成员都是坏人,被网友戏称为土味社会人穿搭。,A humorous term used by netizens to describe outdated or unfashionable work attire.
zh,迪士尼在逃公主,A princess who escaped from Disneyland.,迪士尼乐园中逃跑的公主,网络流行语，用来赞美女性，形容她们像迪士尼公主一样美丽，但她们并不在迪士尼乐园表演，而是像公主们那样“逃离”了某种场合或情境。这个梗源于迪士尼动画中的公主形象，因为许多迪士尼公主在故事中都有过“逃跑”的经历，因此当有人临时需要“逃离”某个场合时，这个梗就被用来形容她们。,"A popular internet term praising women by comparing them to Disney princesses who are beautiful and have ""escaped"" from certain situations."
zh,电脑配件,Computer components or accessories,计算机的组成部分或附件,在动漫中，特指角色对白中用“电脑配件”作为掩饰的物品，实际上指代某些不被允许或者不便公开的补品或物品。渐渐地，这个词开始被用作弹幕，以调侃和幽默的方式来评论此类情境。,"In anime, a euphemism for prohibited or sensitive items, later used humorously in comments to reference such situations."
zh,群青,A deep blue pigment or color name.,一种深蓝色的颜料或颜色名称,在网络文化中，“群青”成为一种鬼畜视频梗，通常当视频中某个角色发出长音时，制作者会将这一长音与YOASOBI的歌曲《群青》中的高音部分“啊”进行结合，同时将画面调成一种类似群青色的效果，形成一种戏谑和幽默的效果。,"In online culture, ""群青"" refers to a meme where a character's sustained note in a video is combined with the high-pitched ""ah"" from YOASOBI's song ""群青,"" accompanied by a blue-toned visual effect for humorous impact."
zh,心巴,Heart area,心脏部位,通过仿造上巴（上唇的意思）来幽默地指代心脏。此词调侃性地将身体各部位以“x巴”的格式重新命名，以增加趣味性。,"A humorous slang term for the heart, modeled after the word for upper lip, used to playfully rename body parts in the format ""x-ba."""
zh,雪糕刺客,Ice cream with hidden spikes (figuratively: unexpectedly expensive ice cream).,带刺的雪糕,指的是那些看似普通但价格高昂的雪糕，购买时让人感到意外和“被刺”的疼痛感。这个表达反映了雪糕价格上涨和意外负担感。,A term for seemingly ordinary ice creams with unexpectedly high prices that cause a surprising sense of financial pain.
zh,手磨咖啡,Hand-ground coffee: coffee powder ground manually.,用手工磨制的咖啡粉,形容一个人喜欢没事找事或自我炫耀。,Describes someone who likes to create trouble or show off without reason.
zh,饮茶先啊,Drink tea first.,先喝茶,的意思是提醒人们放下手头的工作，去休息，享受一杯茶。这个短语表达了一种对忙碌工作的抵抗，强调生活中应该有片刻的放松。,A reminder to pause work and enjoy a moment of relaxation with tea.
zh,三迟但到,Arriving late three times but eventually showing up.,三次迟到但最终到达,指的是尽管张三出现得比较晚，但最终他一定会被提到，调侃罗翔老师在讲课时总会例举的虚拟人物张三。,"Refers to someone who arrives late but is inevitably mentioned, humorously alluding to the fictional character Zhang San frequently cited by teacher Luo Xiang in lectures."
zh,东方甄选,Carefully selected products or services from the East.,东方精选的产品或服务,指的是新东方教育集团旗下的一种创新式直播带货方式。因其由新东方教师转型而来，以中英双语直播和独特的教学风格，将学术知识与商品推销相结合，吸引了大量观众。网友认为这种高质量的直播带货犹如一股清泉，为传统的带货模式带来了新意。,An innovative livestream sales method by New Oriental Education Group combining bilingual teaching and product promotion.
zh,红眼特效,Special effect of red-colored eyes,红色眼睛的特殊效果,经常用于动漫和鬼畜二创作品，使得人物的眼睛看起来像能发出犀利的红光。这种特效通常用于展现人物的酷炫、专注或带有危险的气息，常伴随夸张的表情或文本，具有强烈反差的喜剧效果，也用于营造装逼时刻。,"A visual effect commonly used in anime and remix works that makes characters' eyes appear to emit sharp red light, conveying coolness, focus, danger, or exaggerated comedic contrast."
zh,战术核显卡,Integrated graphics card used for tactical purposes,用于战术用途的核显卡,指的是NVIDIA GeForce GTX 690显卡，由于功耗大、温度高，被调侃为“战术核显卡”。,"Refers to the NVIDIA GeForce GTX 690 graphics card, humorously nicknamed for its high power consumption and heat output."
zh,你已经是个成熟的软件了,You have already become a fully developed software program.,你已经成为一个功能完善的软件程序了,这个梗用以调侃和吐槽软件，讽刺软件虽“成熟”却未达到用户期望的自动化程度，希望软件能自主完成用户的需求。,"A sarcastic phrase used to mock software that is called ""mature"" but still fails to meet user expectations for automation and independence."
zh,上香,Burn incense as an offering or worship.,焚香祭拜,用于形容某事物或人物“凉凉了”，即事业或影响力衰退。常在评论中带有嘲讽或惋惜的意味。,"Used to describe something or someone as having declined or lost influence, often with a tone of sarcasm or regret."
zh,开团,Start a group activity.,开始一个团队活动,最初指游戏中与队友一起进行战斗，现指一群人聚集起来共同攻击或嘲讽某个人。,Originally referred to fighting alongside teammates in a game; now means a group gathering to collectively attack or mock someone.
zh,无内鬼,No internal spy or traitor.,没有内部的间谍或叛徒,用于表示“环境安全，可以开始分享图片”，通常指尺度较大的图片。,Indicates a safe environment to start sharing sensitive or explicit images.
zh,北半球,The northern half of the Earth.,地球的北半部分,指的是胸部的上半部分露出。它常用于二次元文化中，与“南半球”相对。,"The upper half of the chest exposed, commonly used in anime and manga culture, opposite of ""southern hemisphere."""
zh,脱氧核糖,Deoxyribose is a sugar molecule that forms part of DNA and RNA.,脱氧核糖是一种构成DNA和RNA的糖类分子。,在这个梗中指的是精子。因为在生物学中，DNA是由脱氧核糖构成的一部分，而精子是携带DNA的重要载体，因此用脱氧核糖来暗指精子。,"A slang term for sperm, referencing deoxyribose as a component of DNA carried by sperm."
zh,人间清醒,A clear-headed state in the human world.,人世间清醒的状态,指在纷繁复杂的世界中保持清醒，不迷失自我，明确自我定位，理智且踏实地生活和工作。,"Someone who stays clear-headed and self-aware amid a complex world, living and working with rationality and groundedness."
zh,俺也一样,Me too.,我也是一样,用来表达一种强烈的认同感、激动或感慨，尤其是在遇到志同道合的人时。,"Used to express strong agreement, excitement, or emotion, especially when meeting like-minded people."
zh,我的银行卡密码,The password of my bank card.,我的银行卡的密码,这个梗用来形容一个人所有的行动和意图都被他人彻底看透，就像对方已经知道了你的银行卡密码一样。通常用于调侃在游戏中完全被对手预判、看穿的一方。,"A phrase used to describe someone whose actions and intentions are completely seen through by others, as if their bank card password is known, often used to tease a player who is fully anticipated and outplayed in a game."
zh,精罗震怒,Meticulously detailed anger.,精细罗列的震怒情绪,当他们看到古罗马相关的信息时表现出的强烈反应。,A strong reaction displayed when encountering information related to ancient Rome.
zh,甜心奶奶,Sweet and adorable grandmother,甜美可爱的奶奶,源自她在《乘风破浪的姐姐》第三季中的初舞台表现。尽管她已经40岁，但仍旧用一首《爱你》等表演让90后粉丝感到怀旧和激动。这个称呼体现了粉丝对她甜美形象和活力的喜爱。,A term expressing fans' affection for a 40-year-old performer's sweet image and energetic stage presence that evokes nostalgia among post-90s fans.
zh,寄,To send mail or items.,寄送邮件或物品,原为电子竞技中的礼貌用语，代表Goodgame的缩写。最初用来表示对一局游戏的满意和结束，表示技不如人的甘拜下风。而在网络文化中，常用于形容“完蛋了”或处于劣势、一种摆烂的心态。,"Originally a polite term in e-sports meaning ""Good game,"" now commonly used online to indicate defeat, disadvantage, or a resigned attitude."
zh,朵拉,Duola (female given name),朵拉（女性名字）,这个梗用来形容“蘑菇头”和“眼瞎”，指的是动画角色朵拉的标志性蘑菇头发型和她在观察物品时的“战略性”视而不见。,"A slang term referring to a mushroom-shaped hairstyle and willful blindness, inspired by the animated character Dora's signature look and her strategic overlooking of objects."
zh,卢雷元年,The first year of the Lu and Lei surnames.,卢姓和雷姓的第一年,用来形容2022年，因为电子科技大学的两名学生卢XX和雷XX在毕业设计中舞弊被曝光，导致全国高校加强了对毕业设计的要求。,"A term referring to the year 2022, marked by increased national university scrutiny on graduation projects following a cheating scandal involving two students from the University of Electronic Science and Technology."
zh,退退退,"Step back, step back, step back.",退后退后退后,"包含跺脚、手势如击剑，同时大喊""退退退""，仿佛在驱逐恶灵。","Stomping feet and making fencing-like gestures while shouting ""retreat"" as if expelling evil spirits."
zh,谢谢甄嬛,Thankful for Zhen Huan's help or kindness.,感谢甄嬛的帮助或恩惠,表达对该角色逆风翻盘、苦尽甘来的励志生活态度的欣赏和向往。这一事件在网上引发了大家对美好生活的期盼，希望通过这种祝福获得好运和福气。,Expressing admiration and aspiration for the character's inspiring comeback and hopeful attitude toward a better life.
zh,潘周聃,A person named Zhou Dan with the surname Pan.,潘姓的周聃人名,这个梗指的是一位名叫潘周聃的学霸，他在节目《最强大脑》中的出场方式给人留下了深刻的印象。由于场地的狭窄，他起身时的扭头和侧身动作显得非常拽酷，给人一种气势不凡的感觉，因此被网友们用来玩梗和模仿。,"A reference to Pan Zhoudan, a top student whose cool and confident entrance on the show ""The Brain"" became a popular meme for imitation."
zh,痛太痛了,Extremely painful,疼得非常厉害,可以表示心理上的悲伤或生理上的疼痛。在网络文化中，它常被用于调侃或营造中二氛围。,"Expresses emotional sadness or physical pain, often used humorously or to create a dramatic atmosphere online."
zh,婉拒了哈,Politely declined.,婉转地拒绝了哈,是一种委婉拒绝别人的表达方式。在直接拒绝可能会带来尴尬或伤感情的情况下，用这种说法既达到了拒绝的目的，又通过“了哈”这种轻松的语气缓和了气氛，让对方更容易接受。,A polite and casual way to decline an offer or invitation to avoid awkwardness or hurt feelings.
zh,仰泳鲈鱼,A bass fish lying on its back.,仰面朝上的鲈鱼,形容刚刚死去，肚皮朝上的鲈鱼，以区别于新鲜活鱼。这种死去的鱼通常价格较低，“仰泳鲈鱼”这个称呼实际上是商家以幽默和高情商的方式来描述便宜出售的死鱼，以吸引顾客注意。,"A humorous term for dead sea bass floating belly-up, used by sellers to describe cheap, unsold fish."
zh,上巴,The slap on the upper side.,上面的巴掌,指人中，与“下巴”相对应。,"The philtrum, corresponding to the chin."
zh,生产队的驴,A donkey raised by the production team.,生产队养的驴,是用来形容特别忙碌或被过度使用的状态。这个短语来源于一句俗语“生产队的驴都没有你忙”，用来对比一个人或物处于高强度的使用状态。虽然用“驴”来形容听上去可能不那么高尚，但在这个语境下并不是用来骂人的，而是一种轻松幽默的表达。,Used to describe someone or something that is extremely busy or overworked.
zh,桌面清理大师,Expert at organizing desktops,擅长整理桌面的人,用来形容那些因为愤怒或焦虑而突然把桌上的物品全部推翻甚至掀桌的人。尽管这样做会导致一片混乱，但桌面却瞬间变得空无一物，就像被快速清理了一样。,"A person who, out of anger or anxiety, suddenly overturns all items on a desk, creating chaos but leaving the surface instantly cleared."
zh,癞蛤蟆睡青蛙,A toad sleeping with a frog.,癞蛤蟆和青蛙睡觉,这个梗用来形容一个人外貌不佳但又非常花心。,A phrase describing someone unattractive but very flirtatious.
zh,防止小孩误食,Prevent children from accidentally ingesting items.,防止儿童误食物品,源于人们对带孔物品的调侃。原本是为防止孩子误吞而设计的通气孔，但有人问菜刀上的圆孔用途时，网友恶搞回应：“防止小孩误食”。此后，任何带孔物品的用途都会被玩笑称为“防止小孩误食”，成为网络上的搞笑回应。,A humorous internet phrase jokingly claiming that holes in objects are designed to prevent children from accidentally swallowing them.
zh,大比兜,Big gestures and a pouch.,大大的比划和兜子,意思是打嘴巴子或者被掌掴。现今，它常被用作形容遭遇不幸或糟糕的情况，成为一种表达悲惨经历的幽默方式。,To be slapped or hit; now often used humorously to describe experiencing misfortune or a bad situation.
zh,猪脑过载,Pig brain overload: excessive burden on a pig's brain.,猪的大脑过度负荷,是一个用来调侃某人一时反应迟钝或思维停滞的网络用语。通常用于描述一个人遇到困难而无法迅速找到解决方案，从而显得憨态可掬的状态。,A slang term used to humorously describe someone momentarily slow to react or mentally stuck when facing difficulties.
zh,多谢款待,Thank you very much for your hospitality.,非常感谢您的款待,用于在观看或享用过某些内容后表达满意和感谢，尤其在二次元或成人内容的语境中使用。,"Used to express satisfaction and gratitude after experiencing certain content, especially in anime or adult contexts."
zh,咱也不知道咱也不敢问,"I don't know, and I don't dare to ask.",我也不知道，我也不敢问,“咱也不知道，咱也不敢问”是一句幽默的话，用来形容一些无法解释、不便过问或令人惊叹的事情。它被网友们用来以幽默的方式自嘲或评论各种现象。,"A humorous phrase used to describe things that are inexplicable, awkward to inquire about, or astonishing."
zh,大猪蹄子,Large pig's hoof,大猪的蹄子,用来吐槽或调侃男生的行为，表示男生不解风情、善变或不可靠。,"A term used to mock or tease men for being insensitive, fickle, or unreliable."
zh,还是吃的太饱了,Still ate too much.,还是吃得太饱了,是用来调侃那些在网上发表低级或无聊内容的人。这个说法讽刺他们因为生活条件优越、吃饱没事干，所以在网上胡闹。,"Used to mock people who post low-quality or boring content online, implying they have nothing better to do due to a comfortable life."
zh,卷心菜,"A green vegetable with tightly layered leaves, known as cabbage.",一种绿色的蔬菜，叶子层层包裹的甘蓝。,指的是一种内卷中的尴尬角色，他们虽然参与竞争，但内心不情愿，显得能力较弱（菜）。同时也可能是一种反向凡尔赛，用来掩盖其真实的强大。,A reluctant participant in intense competition who appears weak but may secretly be strong.
zh,咱就是说,We are saying,我们就是说,通常用于句首或句尾，虽然没有实际意义，但增加了语气的幽默和随意感。,Typically used at the beginning or end of a sentence to add a humorous and casual tone without actual meaning.
zh,猛犸颠勺,Mammoth flipping a spatula.,猛犸象在翻动锅铲,指的是游戏《Dota 2》中半人猛犸-马格纳斯的技能“獠牙冲刺”，技能动画像在颠勺一样。,"Refers to the skill ""Skewer"" of the hero Magnus in the game Dota 2, whose animation resembles flipping a wok."
zh,爷童回,Grandfather and child return.,爷爷和小孩回来,指成年人因为看到或听到与童年回忆有关的事物而感到激动，就像童年重新回来一样。,"An adult feeling excited upon encountering things related to childhood memories, as if their childhood has returned."
zh,广长,Extensive and long-lasting,广泛而长久,"用于指代S11全球总决赛中FPX战队的小天在比赛中打出的伤害4397，这个数字正好比之前厂长在世界赛中打出的4396伤害高1点，因此被称为""广长""。","A term referring to the 4397 damage dealt by FPX player Xiaotian in the S11 World Championship, surpassing the previous highest damage of 4396 by Changgz by one point."
zh,海狗,"A marine animal resembling a dog, referring to seals or sea lions.",海洋中的狗，指海豹或海狗科动物,用来形容那些试图撩很多人但始终成功不了，既像“海王”又像“舔狗”的人。通俗地说，海狗就是同时巴结讨好很多人的人，尽管多方撩拨，却仍显得卑微。,"A person who tries to flirt with many people but never succeeds, resembling both a ""player"" and a ""simp,"" often flattering multiple people yet appearing humble and unsuccessful."
zh,你礼貌吗,Are you polite?,你有礼貌吗？,用于调侃或缓解尴尬，通常在看到或听到不合适或唐突行为时，用来指出对方失礼或无理。,Used to tease or ease awkwardness by pointing out someone's rudeness or inappropriate behavior.
zh,抖一中,Shake the middle part once,抖动一次中间部分,被粉丝称为世界第一中单的LOL职业选手Chovy。粉丝在抖音上常常夸赞Chovy对线技术卓越，认为他是目前最强的中单选手，因此得名。,"A nickname for the professional LOL mid-laner Chovy, praised by fans on Douyin as the world's best mid-laner due to his exceptional laning skills."
zh,凉水怎么可能冲开绿茶,Cold water cannot brew green tea leaves.,凉水不可能冲开绿茶叶,这个梗用于讽刺那些抱怨被“绿茶”女生骗的男生，指出如果他们自己不主动迎合或回应，“绿茶”女生是不会成功的。它强调互动是双向的，对方之所以有效是因为自己提供了机会。,"A phrase mocking men who blame ""green tea"" girls for deceiving them, emphasizing that such girls only succeed if the men respond or engage, highlighting the interaction is mutual."
zh,健达奇趣蛋,Kinder Surprise chocolate candy.,健达牌奇趣蛋巧克力糖果,指代那些身高不高却自信要求配偶身高的女性，意思就是这些女生矮且胖，普通却莫名自信，带有嘲讽和讥讽意味。,"Refers to short, overweight women who are unusually confident in demanding tall partners, used mockingly."
zh,川沙妲己,Daji of Chuansha area,川沙地区的妲己,因其可爱迷人而得名。,Named for being cute and charming.
zh,心软的神,A deity with a soft heart.,心肠柔软的神明,原指韩剧《孤单又灿烂的神：鬼怪》中鬼怪角色，他在救女主的母亲时说：“你今天很走运，遇到了如此心软的神。” 引申为让自己心软的恋人或令人期待的美好爱情。,"Originally referring to the gentle god character in the Korean drama ""Goblin,"" it now describes a lover who softens one's heart or a hopeful, beautiful romance."
zh,红浪漫,Red romantic atmosphere,红色的浪漫情调,用于代指一些“高档”洗浴中心或娱乐场所。,A euphemism for upscale bathhouses or entertainment venues.
zh,献出心脏,To take out one's heart and offer it to someone.,把心脏拿出来献给别人,这个梗代表着为了国家和人民奉献一切的精神。这个短语用于表达一种全心全意的献身和忠诚的意愿。,A phrase expressing wholehearted dedication and loyalty to the country and people.
zh,越共,Vietnamese Communist Party,越南共产党,指代像越南游击队一样无处不在、隐蔽性强、战斗力高的人，常用于调侃。,"A person who is omnipresent, highly covert, and highly capable, often used humorously."
zh,德云社在逃成员,A member of the Deyun Society who is currently on the run.,德云社的成员中正在逃离的人,用来形容一个角色或人物非常能说会道并且很搞笑，像是一个喜剧演员。这个梗来源于游客对北京环球影城威震天的调侃，他在与游客互动中表现得极其幽默和健谈。,"A term describing someone who is very talkative and humorous, like a comedian."
zh,虽普但自,"Although ordinary, but oneself.",虽然普通但是自己,常用于讽刺一些人在某些事情上过度自信。,Used to sarcastically describe someone who is overly confident about something despite being ordinary.
zh,破防了,Defense has been breached.,防御被破坏了,原本是一个游戏术语，指的是游戏中装备或技能的防御被突破。后被引申用于形容在现实生活中，个人在心理层面上受到冲击或“受伤”，即心理防线被突破。,Originally a gaming term meaning defense broken through by equipment or skills; later extended to describe a person experiencing psychological impact or emotional vulnerability.
zh,发疯文学,Crazy literature,疯狂的文学作品,通常以带有夸张、抓狂的语句呈现。这种表达方式常用来表示不满、怒火或者其他激烈情绪，通过大段的情绪渲染来传达内心的冲动和不满。,"A style of exaggerated, frantic writing used to express intense emotions such as frustration or anger."
zh,夕阳红枪法,Red shooting technique at sunset,夕阳下的红色枪法,指的是一种调侃用语，形容玩家在射击游戏中的枪法非常糟糕，几乎打不中目标。它形象地将糟糕的反应速度和精准度与老年人相比。,"A humorous term describing a player's very poor shooting accuracy in games, likening their slow reaction and inaccuracy to that of an elderly person."
zh,废话文学,Literary works composed of useless or meaningless words.,无用的话语的文学作品,看似传递信息，实则没有实质内容，给人一种“说了但好像又什么都没说”的感觉。,"Language that appears informative but lacks substantive content, giving the impression of saying something without actually conveying anything."
